Year,county,Ixodes_L,Ixodes_N,Ixodes_A,Derm_L,Derm_N,Derm_A,others,IxodesTot,DermTot,TotalTicks,LarvTot,NymphTot,AdultTot
2018,Anoka,0,0,1,0,0,2,0,1,2,3,0,0,3
2018,Dakota,0,0,0,0,0,2,0,0,2,2,0,0,2
2018,Hennepin,0,0,0,0,0,1,2,0,1,3,0,0,1
2018,Ramsey,0,0,0,0,0,1,0,0,1,1,0,0,1
2018,Washington,0,0,0,0,0,3,1,0,3,4,0,0,3
2019,Anoka,0,0,1,0,0,3,0,1,3,4,0,0,4
2019,Dakota,0,1,1,0,0,4,0,2,4,6,0,1,5
2019,Hennepin,0,0,0,0,0,3,1,0,3,4,0,0,3
2019,Ramsey,0,0,0,0,0,1,0,0,1,1,0,0,1
2019,Scott,0,0,0,0,0,1,0,0,1,1,0,0,1
2019,Washington,0,0,2,0,0,5,1,2,5,8,0,0,7
2020,Anoka,0,0,1,0,0,4,0,1,4,5,0,0,5
2020,Carver,0,0,1,0,0,1,0,1,1,2,0,0,2
2020,Dakota,0,2,3,0,0,11,2,5,11,18,0,2,14
2020,Hennepin,0,0,1,0,0,8,0,1,8,9,0,0,9
2020,Ramsey,0,1,0,0,0,8,0,1,8,9,0,1,8
2020,Scott,0,0,0,0,0,2,0,0,2,2,0,0,2
2020,Washington,0,2,0,0,0,2,0,2,2,4,0,2,2
2021,Anoka,0,0,2,0,0,11,0,2,11,13,0,0,13
2021,Carver,0,0,0,0,0,2,0,0,2,2,0,0,2
2021,Dakota,0,0,1,0,0,10,0,1,10,11,0,0,11
2021,Hennepin,0,0,2,0,1,4,0,2,5,7,0,1,6
2021,Ramsey,0,0,2,0,0,3,1,2,3,6,0,0,5
2021,Scott,0,0,1,0,0,2,0,1,2,3,0,0,3
2021,Washington,0,0,1,0,0,17,1,1,17,19,0,0,18
2022,Anoka,0,1,7,0,1,18,0,8,19,27,0,2,25
2022,Carver,0,0,0,0,0,2,0,0,2,2,0,0,2
2022,Dakota,0,0,4,0,1,12,1,4,13,18,0,1,16
2022,Hennepin,0,1,3,0,0,8,0,4,8,12,0,1,11
2022,Ramsey,0,0,2,0,0,7,0,2,7,9,0,0,9
2022,Scott,0,0,3,0,0,1,0,3,1,4,0,0,4
2022,Washington,0,0,4,0,0,8,1,4,8,13,0,0,12
2023,Anoka,0,0,3,0,0,9,0,3,9,12,0,0,12
2023,Carver,0,0,0,0,0,2,0,0,2,2,0,0,2
2023,Dakota,0,0,2,0,0,11,0,2,11,13,0,0,13
2023,Hennepin,0,0,3,0,0,7,0,3,7,10,0,0,10
2023,Ramsey,0,0,1,0,0,7,0,1,7,8,0,0,8
2023,Washington,0,0,3,0,0,11,0,3,11,14,0,0,14
